"id,""vuosi"",""sp"",""ika"",""kieli"",""peas"",""pekoko"",""suuralue"",""sivs"",""yo"",""ututku"",""patv"",""amas"",""sose"",""toimiala"",""jurmu"",""tuloluokka"",""isa_ika"",""isa_kieli"",""isa_patv"",""isa_amas"",""isa_toimiala"",""isa_jurmu"",""aiti_ika"",""aiti_kieli"",""aiti_patv"",""aiti_amas"",""aiti_toimiala"",""aiti_jurmu"""
"1,1950,""1"",2,""1"",""3"",7,""3"",,""0"",,""2"",,,,,,42,""1"",""0"",""2"",""01"",""9"",34,""1"",""0"",""2"",""01"",""9"""
"1,1970,""1"",22,""1"",""0"",0,""1"",""1"",""0"",""35"",""0"",""1"",""5"",""34"",""4"",9,,,,,,,,,,,,"
"1,1980,""1"",32,""1"",""2"",4,""1"",""2"",""0"",""35"",""0"",""1"",""5"",""34"",""4"",10,,,,,,,,,,,,"
"1,1990,""1"",42,""1"",""1"",5,""1"",""2"",""0"",""35"",""0"",""1"",""5"",""16"",""4"",9,,,,,,,,,,,,"
"2,1950,""1"",5,""1"",""3"",5,""3"",,""0"",,""2"",,,,,,35,""1"",""0"",""1"",""27"",""5"",27,""1"",""4"",""1"",""27"",""5"""
"2,1970,""1"",25,""1"",""1"",3,""3"",""2"",""0"",,""0"",""1"",""5"",""34"",""4"",9,,,,,,,,,,,,"
"2,1980,""1"",35,""1"",""1"",3,""3"",""2"",""0"",,""0"",""1"",""5"",""34"",""4"",9,,,,,,,,,,,,"
"2,1990,""1"",45,""1"",""1"",3,""3"",""2"",""0"",,""0"",""1"",""5"",""15"",""4"",9,,,,,,,,,,,,"
"2,2000,""1"",55,""1"",""1"",3,""3"",""2"",""0"",,""0"",""1"",""5"",""21"",""4"",10,,,,,,,,,,,,"
"2,2010,""1"",65,""1"",""1"",2,""3"",""2"",""0"",,""4"",,""7"",,""9"",7,,,,,,,,,,,,"
"3,1950,""2"",2,""1"",""3"",4,""1"",,""0"",,""2"",,,,,,30,""1"",""0"",""1"",""64"",""5"",29,""1"",""4"",""1"",""64"",""5"""
"3,1970,""2"",22,""1"",""3"",3,""1"",""1"",""1"",""30"",""0"",""1"",""4"",""71"",""4"",,,,,,,,,,,,,"
"3,1980,""2"",32,""1"",""2"",3,""1"",""2"",""1"",""30"",""0"",""1"",""4"",""81"",""5"",8,,,,,,,,,,,,"
"3,1990,""2"",42,""1"",""2"",3,""1"",""2"",""1"",""30"",""0"",""1"",""4"",""61"",""4"",9,,,,,,,,,,,,"
"3,2000,""2"",52,""1"",""2"",2,""1"",""2"",""1"",""30"",""0"",""1"",""4"",""75"",""2"",5,,,,,,,,,,,,"
"3,2010,""2"",62,""1"",""2"",2,""1"",""2"",""1"",""30"",""4"",,""7"",,""9"",3,,,,,,,,,,,,"
"4,1950,""1"",1,""1"",""3"",3,""2"",,""0"",,""2"",,,,,,26,""1"",""0"",""1"",""01"",""9"",23,""1"",""4"",""1"",""01"",""9"""
"4,1970,""1"",21,""1"",""3"",7,""1"",""1"",""0"",,""0"",""1"",""5"",""31"",""5"",6,,,,,,,,,,,,"
"4,1980,""1"",31,""1"",""1"",3,""1"",""2"",""0"",""38"",""0"",""1"",""4"",""93"",""5"",8,,,,,,,,,,,,"
"5,1950,""2"",9,""1"",""3"",5,""2"",,""0"",,""2"",,,,,,,,,,,,30,""1"",""0"",""2"",""01"",""9"""
"5,1970,""2"",29,""1"",""2"",3,""2"",""2"",""0"",,""4"",""1"",""5"",""52"",""9"",,,,,,,,,,,,,"
"5,1980,""2"",39,""1"",""2"",3,""2"",""2"",""0"",,""4"",""1"",""5"",""94"",""2"",4,,,,,,,,,,,,"
"5,1990,""2"",49,""1"",""2"",2,""2"",""2"",""0"",,""0"",""1"",""5"",""91"",""2"",4,,,,,,,,,,,,"
"5,2000,""2"",59,""1"",""2"",2,""2"",""2"",""0"",,""0"",""1"",""5"",""92"",""2"",5,,,,,,,,,,,,"
"5,2010,""2"",69,""1"",""2"",2,""2"",""2"",""0"",,""4"",,""7"",,""9"",3,,,,,,,,,,,,"
"6,1950,""2"",0,""1"",""3"",3,""4"",,""0"",,""2"",,,,,,24,""1"",""0"",""2"",""01"",""9"",23,""1"",""4"",""2"",""01"",""9"""
"6,1980,""2"",30,""1"",""2"",5,""4"",""2"",""0"",,""3"",,""7"",""99"",""9"",1,,,,,,,,,,,,"
"6,1990,""2"",40,""1"",""2"",6,""4"",""2"",""0"",""33"",""4"",,""3"",,""9"",3,,,,,,,,,,,,"
"6,2000,""2"",50,""1"",""2"",2,""2"",""2"",""1"",""33"",""0"",""1"",""4"",""74"",""4"",3,,,,,,,,,,,,"
"6,2010,""2"",60,""1"",""2"",2,""2"",""2"",""1"",""36"",""4"",,""3"",,""9"",2,,,,,,,,,,,,"
"7,1950,""1"",3,""1"",""3"",4,""1"",,""0"",,""2"",,,,,,33,""1"",""0"",""1"",""04"",""9"",27,""1"",""0"",""1"",""82"",""1"""
"7,1970,""1"",23,""1"",""0"",0,""3"",""1"",""0"",,""0"",""1"",""5"",""35"",""3"",8,,,,,,,,,,,,"
"7,1980,""1"",33,""1"",""1"",3,""1"",""2"",""0"",,""0"",""1"",""4"",""93"",""2"",9,,,,,,,,,,,,"
"7,1990,""1"",43,""1"",""1"",4,""1"",""2"",""0"",,""0"",""1"",""4"",""88"",""2"",10,,,,,,,,,,,,"
"7,2000,""1"",53,""1"",""1"",3,""1"",""2"",""0"",,""0"",""1"",""4"",""85"",""2"",10,,,,,,,,,,,,"
"7,2010,""1"",63,""1"",""1"",2,""1"",""2"",""0"",,""4"",,""7"",,""9"",7,,,,,,,,,,,,"
"8,1950,""2"",7,""1"",""3"",6,""3"",,""0"",,""2"",,,,,,,,,,,,32,""1"",""0"",""2"",""01"",""9"""
"8,1970,""2"",27,""1"",""1"",2,""1"",""5"",""0"",,""0"",""1"",""4"",""62"",""5"",6,,,,,,,,,,,,"
"8,1980,""2"",37,""1"",""1"",2,""1"",""5"",""0"",""33"",""0"",""1"",""4"",""62"",""5"",7,,,,,,,,,,,,"
"8,1990,""2"",47,""1"",""0"",0,""1"",""5"",""0"",""33"",""0"",""1"",""4"",""58"",""4"",8,,,,,,,,,,,,"
"8,2000,""2"",57,""1"",""0"",0,""1"",""5"",""0"",""53"",""0"",""1"",""4"",""64"",""4"",9,,,,,,,,,,,,"
"8,2010,""2"",67,""1"",""0"",0,""1"",""5"",""0"",""53"",""4"",,""7"",,""9"",6,,,,,,,,,,,,"
"9,1950,""2"",8,""1"",""3"",7,""2"",,""0"",,""2"",,,,,,45,""1"",""0"",""2"",""01"",""9"",41,""1"",""4"",""2"",""01"",""9"""
"9,1970,""2"",28,""1"",""2"",4,""2"",""2"",""0"",,""0"",""1"",""4"",""72"",""1"",1,,,,,,,,,,,,"
"9,1980,""2"",38,""1"",""2"",5,""2"",""2"",""0"",,""0"",""1"",""4"",""93"",""2"",7,,,,,,,,,,,,"
"9,1990,""2"",48,""1"",""2"",3,""2"",""2"",""0"",,""0"",""1"",""4"",""88"",""2"",7,,,,,,,,,,,,"
"9,2000,""2"",58,""1"",""0"",0,""2"",""5"",""0"",,""4"",,""8"",""99"",""9"",10,,,,,,,,,,,,"
"9,2010,""2"",68,""1"",""0"",0,""2"",""5"",""0"",,""4"",,""7"",,""9"",6,,,,,,,,,,,,"
"10,1950,""2"",5,""1"",""3"",3,""4"",,""0"",,""2"",,,,,,43,""1"",""0"",""1"",""82"",""2"",32,""1"",""4"",""1"",""82"",""2"""
"10,1970,""2"",25,""1"",""0"",0,""2"",""1"",""0"",""57"",""0"",""1"",""4"",""93"",""2"",7,,,,,,,,,,,,"
"10,1980,""2"",35,""1"",""2"",4,""2"",""2"",""0"",""57"",""0"",""1"",""4"",""93"",""2"",8,,,,,,,,,,,,"
"10,1990,""2"",45,""1"",""2"",4,""2"",""2"",""0"",""57"",""0"",""1"",""4"",""87"",""2"",7,,,,,,,,,,,,"
"10,2000,""2"",55,""1"",""2"",3,""2"",""2"",""0"",""57"",""0"",""1"",""4"",""85"",""2"",8,,,,,,,,,,,,"
"10,2010,""2"",65,""1"",""2"",2,""2"",""2"",""0"",""57"",""4"",,""7"",,""9"",6,,,,,,,,,,,,"
"11,1950,""2"",2,""1"",""3"",5,""1"",,""0"",,""2"",,,,,,,,,,,,31,""1"",""4"",""1"",""40"",""9"""
"11,1970,""2"",22,""1"",""1"",3,""1"",""4"",""0"",,""0"",""1"",""5"",""36"",""4"",6,,,,,,,,,,,,"
"11,1980,""2"",32,""1"",""0"",0,""1"",""4"",""0"",,""0"",""1"",""5"",""35"",""4"",7,,,,,,,,,,,,"
